,MutationState
TCGA-AO-A0JJ-01A,WT
TCGA-E9-A1R4-01A,WT
TCGA-E9-A6HE-01A,WT
TCGA-E2-A1L9-01A,WT
TCGA-E9-A245-01A,WT
TCGA-AO-A0JG-01A,WT
TCGA-C8-A1HE-01A,WT
TCGA-C8-A12W-01A,MUT
TCGA-E2-A570-01A,WT
TCGA-A7-A3RF-01A,WT
TCGA-A2-A0T0-01A,WT
TCGA-D8-A1J9-01A,MUT
TCGA-BH-A0BL-01A,MUT
TCGA-E2-A1B5-01A,WT
TCGA-A2-A1G4-01A,WT
TCGA-AR-A0TQ-01A,WT
TCGA-A8-A07I-01A,WT
TCGA-BH-A0DE-01A,WT
TCGA-E2-A1B4-01A,WT
TCGA-A1-A0SF-01A,WT
TCGA-AO-A124-01A,MUT
TCGA-D8-A1XA-01A,MUT
TCGA-E2-A1L6-01A,WT
TCGA-A2-A1FX-01A,WT
TCGA-A8-A06R-01A,WT
TCGA-AR-A24H-01A,WT
TCGA-AR-A24X-01A,WT
TCGA-B6-A0RQ-01A,WT
TCGA-E9-A1N8-01A,WT
TCGA-EW-A1P4-01A,MUT
TCGA-AR-A1AX-01A,WT
TCGA-D8-A1JH-01A,WT
TCGA-GM-A5PX-01A,WT
TCGA-A1-A0SN-01A,WT
TCGA-AR-A1AK-01A,WT
TCGA-BH-A0HX-01A,MUT
TCGA-D8-A1X7-01A,WT
TCGA-A2-A4S2-01A,WT
TCGA-D8-A27M-01A,MUT
TCGA-BH-A0C0-01A,WT
TCGA-E2-A1IK-01A,WT
TCGA-BH-A0HQ-01A,WT
TCGA-EW-A1J5-01A,WT
TCGA-A8-A07J-01A,WT
TCGA-D8-A27K-01A,WT
TCGA-D8-A1XF-01A,WT
TCGA-GM-A2DN-01A,WT
TCGA-BH-A0C3-01A,MUT
TCGA-EW-A1J1-01A,WT
TCGA-E9-A1N5-01A,MUT
TCGA-B6-A0I8-01A,WT
TCGA-A2-A0ST-01A,WT
TCGA-AC-A2FG-01A,WT
TCGA-E9-A1NH-01A,WT
TCGA-A2-A4S1-01A,MUT
TCGA-E9-A1RC-01A,WT
TCGA-BH-A0W7-01A,WT
TCGA-GM-A2DD-01A,MUT
TCGA-HN-A2OB-01A,WT
TCGA-OL-A66H-01A,WT
TCGA-A8-A090-01A,WT
TCGA-D8-A1XC-01A,WT
